"Date","Federal minimum wage (nominal dollars)","Federal minimum wage (real 2018 dollars","Average wages of production and nonsupervisory workers","Federal minimum wage as a share of average wages of production and nonsupervisory workers"
"2020","$7.25","$7.25","$24.67","29.4%"
"2019","$7.25","$7.34","$23.80","30.8%"
"2018","$7.25","$7.47","$23.41","31.9%"
"2017","$7.25","$7.66","$23.28","32.9%"
"2016","$7.25","$7.82","$23.22","33.7%"
"2015","$7.25","$7.92","$22.98","34.5%"
"2014","$7.25","$7.93","$22.55","35.2%"
"2013","$7.25","$8.07","$22.40","36.0%"
"2012","$7.25","$8.19","$22.28","36.7%"
"2011","$7.25","$8.36","$22.41","37.3%"
"2010","$7.25","$8.63","$22.65","38.1%"
"2009","$7.25","$8.77","$22.49","39.0%"
"2008","$6.55","$7.89","$21.77","36.3%"
"2007","$5.85","$7.32","$21.79","33.6%"
"2006","$5.15","$6.63","$21.54","30.8%"
"2005","$5.15","$6.84","$21.42","31.9%"
"2004","$5.15","$7.07","$21.54","32.8%"
"2003","$5.15","$7.27","$21.67","33.5%"
"2002","$5.15","$7.43","$21.58","34.4%"
"2001","$5.15","$7.55","$21.31","35.4%"
"2000","$5.15","$7.76","$21.12","36.8%"
"1999","$5.15","$8.03","$21.01","38.2%"
"1998","$5.15","$8.20","$20.71","39.6%"
"1997","$5.15","$8.31","$20.18","41.2%"
"1996","$4.75","$7.83","$19.84","39.5%"
"1995","$4.25","$7.19","$19.71","36.5%"
"1994","$4.25","$7.36","$19.65","37.5%"
"1993","$4.25","$7.52","$19.55","38.5%"
"1992","$4.25","$7.71","$19.53","39.5%"
"1991","$4.25","$7.90","$19.53","40.4%"
"1990","$3.80","$7.32","$19.65","37.3%"
"1989","$3.35","$6.77","$19.83","34.1%"
"1988","$3.35","$7.07","$19.91","35.5%"
"1987","$3.35","$7.32","$19.98","36.7%"
"1986","$3.35","$7.57","$20.17","37.6%"
"1985","$3.35","$7.71","$20.08","38.4%"
"1984","$3.35","$7.97","$20.20","39.5%"
"1983","$3.35","$8.30","$20.32","40.9%"
"1982","$3.35","$8.66","$20.31","42.6%"
"1981","$3.35","$9.18","$20.36","45.1%"
"1980","$3.10","$9.30","$20.51","45.3%"
"1979","$2.90","$9.67","$21.14","45.7%"
"1978","$2.65","$9.68","$21.47","45.1%"
"1977","$2.30","$8.97","$21.21","42.3%"
"1976","$2.30","$9.54","$21.00","45.5%"
"1975","$2.10","$9.21","$20.79","44.3%"
"1974","$2.00","$9.50","$21.08","45.0%"
"1973","$1.60","$8.35","$21.62","38.6%"
"1972","$1.60","$8.88","$21.70","40.9%"
"1971","$1.60","$9.15","$20.76","44.1%"
"1970","$1.60","$9.55","$20.35","46.9%"
"1969","$1.60","$10.01","$20.14","49.7%"
"1968","$1.60","$10.46","$19.81","52.8%"
"1967","$1.40","$9.51","$19.35","49.1%"
"1966","$1.25","$8.75","$19.11","45.8%"
"1965","$1.25","$9.00","$18.93","47.5%"
"1964","$1.25","$9.14","$18.51","49.4%"
