,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
0,2000.0,166.1,166.3,166.5,166.6,167.3,167.3,168.1,168.7,168.9,169.1,168.9,170.0,167.8,166.7,169.0
1,2001.0,170.9,171.3,171.7,171.9,172.5,173.0,173.5,173.9,174.1,174.9,174.6,174.7,173.1,171.9,174.3
2,2002.0,175.8,175.9,176.1,176.2,175.8,175.8,176.0,176.0,176.4,176.5,176.8,177.3,176.2,175.9,176.5
3,2003.0,177.5,178.3,178.6,178.4,178.8,179.6,179.7,180.4,180.7,181.7,182.4,183.6,180.0,178.5,181.4
4,2004.0,183.8,184.1,184.4,184.5,186.1,186.3,186.8,186.8,186.7,187.9,188.2,188.5,186.2,184.9,187.5
5,2005.0,189.1,188.8,189.1,190.2,190.6,190.4,190.8,190.9,191.4,192.1,192.4,192.9,190.7,189.7,191.8
6,2006.0,194.1,194.0,194.0,193.7,194.2,194.5,195.0,195.5,196.2,197.1,196.8,197.0,195.2,194.1,196.3
7,2007.0,198.812,200.0,200.403,200.82,201.791,202.441,203.121,203.885,204.941,205.796,206.277,206.704,202.916,200.711,205.121
8,2008.0,208.618,209.166,209.385,211.102,212.054,213.243,215.299,216.422,217.696,218.738,218.749,218.805,214.106,210.595,217.618
9,2009.0,219.675,219.205,218.6,218.162,217.826,217.74,217.257,217.35,217.218,217.526,217.265,217.637,217.955,218.535,217.376
10,2010.0,218.874,218.778,219.032,219.218,219.374,219.218,219.121,219.491,220.216,220.616,220.617,220.946,219.625,219.082,220.168
11,2011.0,222.912,223.799,225.35,226.15,226.976,227.36,228.316,229.554,230.573,231.017,230.79,231.301,227.842,225.425,230.259
12,2012.0,232.666,232.486,232.792,233.234,233.339,233.563,233.63,234.156,234.298,234.878,234.896,235.39,233.777,233.013,234.541
13,2013.0,236.341,236.301,236.332,236.841,236.526,236.792,237.001,237.406,237.522,237.871,237.641,237.869,237.037,236.522,237.552
14,2014.0,238.872,239.608,240.398,241.337,242.344,242.326,243.034,243.811,244.63,245.166,245.192,245.976,242.725,240.814,244.635
15,2015.0,246.538,246.68,246.045,246.121,246.187,246.68,247.003,247.671,248.632,249.052,248.306,247.903,247.235,246.375,248.095
16,2016.0,248.631,248.8,247.978,248.413,247.86,247.482,247.554,247.719,247.917,248.073,247.435,247.313,247.931,248.194,247.669
17,2017.0,248.242,248.791,249.165,249.739,250.016,249.653,250.214,250.493,250.993,251.364,250.871,251.238,250.065,249.268,250.862
18,2018.0,252.361,252.266,252.37,253.209,253.098,253.231,253.746,254.077,254.393,254.358,254.379,255.21,253.558,252.756,254.361
19,2019.0,256.417,257.222,257.724,257.708,258.11,258.064,258.274,258.41,258.943,259.632,259.467,259.823,258.316,257.541,259.092
20,2020.0,261.057,261.876,262.708,266.757,268.439,269.77,268.863,269.079,269.163,269.828,269.069,270.023,267.219,265.101,269.338
21,2021.0,270.938,271.363,271.812,273.09,274.212,276.206,278.127,279.135,281.506,284.205,285.507,286.966,277.756,272.937,282.574
22,2022.0,289.772,292.794,295.728,298.711,302.038,305.041,308.532,,,,,,,297.347,
