Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,ADP Employment Change,2010-02-28T00:00:00,-269,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-03-31T00:00:00,-117,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-04-30T00:00:00,-78,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-05-31T00:00:00,12,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-06-30T00:00:00,-118,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-07-31T00:00:00,175,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-08-31T00:00:00,-165,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-09-30T00:00:00,-96,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-10-31T00:00:00,-83,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-11-30T00:00:00,-119,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2010-12-31T00:00:00,-278,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-01-31T00:00:00,157,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-02-28T00:00:00,132,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-03-31T00:00:00,199,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-04-30T00:00:00,139,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-05-31T00:00:00,97,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-06-30T00:00:00,175,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-07-31T00:00:00,123,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-08-31T00:00:00,71,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-09-30T00:00:00,185,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-10-31T00:00:00,137,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-11-30T00:00:00,201,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2011-12-31T00:00:00,-184,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2012-01-31T00:00:00,578,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2012-02-29T00:00:00,176,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
United States,ADP Employment Change,2012-03-31T00:00:00,-88,Monthly,UNITEDSTAADPEMPCHA,2022-08-31T13:44:00
