Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Average House Prices,1975-01-31T00:00:00,39500,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-02-28T00:00:00,40600,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-03-31T00:00:00,42100,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-04-30T00:00:00,42000,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-05-31T00:00:00,43200,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-06-30T00:00:00,42500,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-07-31T00:00:00,42300,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-08-31T00:00:00,41200,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-09-30T00:00:00,43400,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-10-31T00:00:00,43900,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-11-30T00:00:00,43700,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1975-12-31T00:00:00,45900,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-01-31T00:00:00,45300,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-02-29T00:00:00,45900,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-03-31T00:00:00,46800,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-04-30T00:00:00,46800,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-05-31T00:00:00,47500,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-06-30T00:00:00,49200,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-07-31T00:00:00,48000,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-08-31T00:00:00,48500,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-09-30T00:00:00,48200,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-10-31T00:00:00,50400,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-11-30T00:00:00,50000,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1976-12-31T00:00:00,50600,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1977-01-31T00:00:00,50700,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1977-02-28T00:00:00,52600,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1977-03-31T00:00:00,51600,Monthly,USAAHP,2022-10-05T09:28:00
United States,Average House Prices,1977-04-30T00:00:00,54600,Monthly,USAAHP,2022-10-05T09:28:00
