Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Average Weekly Hours,2006-03-31T00:00:00,34.2,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-04-30T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2019-02-04T13:40:00
United States,Average Weekly Hours,2006-05-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-06-30T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-07-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-08-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-09-30T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-10-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-11-30T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2006-12-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2021-02-05T13:46:00
United States,Average Weekly Hours,2007-01-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-02-28T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-03-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-04-30T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2019-02-04T13:40:00
United States,Average Weekly Hours,2007-05-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-06-30T00:00:00,34.5,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-07-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-08-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-09-30T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-10-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-11-30T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2007-12-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-01-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-02-29T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-03-31T00:00:00,34.5,Monthly,UNITEDSTAAVEWEEHOU,2021-02-05T13:46:00
United States,Average Weekly Hours,2008-04-30T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-05-31T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-06-30T00:00:00,34.4,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-07-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-08-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-09-30T00:00:00,34.2,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-10-31T00:00:00,34.2,Monthly,UNITEDSTAAVEWEEHOU,2021-02-05T13:46:00
United States,Average Weekly Hours,2008-11-30T00:00:00,34.1,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2008-12-31T00:00:00,33.9,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2009-01-31T00:00:00,34,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2009-02-28T00:00:00,34,Monthly,UNITEDSTAAVEWEEHOU,2019-02-04T13:40:00
United States,Average Weekly Hours,2009-03-31T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2015-04-25T14:40:00
United States,Average Weekly Hours,2009-04-30T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2009-05-31T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2009-06-30T00:00:00,33.7,Monthly,UNITEDSTAAVEWEEHOU,2015-04-25T14:40:00
United States,Average Weekly Hours,2009-07-31T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2009-08-31T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2015-04-25T14:40:00
United States,Average Weekly Hours,2009-09-30T00:00:00,33.9,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2009-10-31T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2009-11-30T00:00:00,33.9,Monthly,UNITEDSTAAVEWEEHOU,2015-04-25T14:40:00
United States,Average Weekly Hours,2009-12-31T00:00:00,33.9,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2010-01-31T00:00:00,34.1,Monthly,UNITEDSTAAVEWEEHOU,2019-02-04T13:40:00
United States,Average Weekly Hours,2010-02-28T00:00:00,33.8,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2010-03-31T00:00:00,34,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2010-04-30T00:00:00,34.1,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2010-05-31T00:00:00,34.1,Monthly,UNITEDSTAAVEWEEHOU,2015-04-25T14:40:00
United States,Average Weekly Hours,2010-06-30T00:00:00,34.1,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
United States,Average Weekly Hours,2010-07-31T00:00:00,34.1,Monthly,UNITEDSTAAVEWEEHOU,2022-02-04T13:49:00
United States,Average Weekly Hours,2010-08-31T00:00:00,34.2,Monthly,UNITEDSTAAVEWEEHOU,2015-04-25T14:40:00
United States,Average Weekly Hours,2010-09-30T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2017-04-07T13:00:00
United States,Average Weekly Hours,2010-10-31T00:00:00,34.3,Monthly,UNITEDSTAAVEWEEHOU,2014-05-02T13:47:00
