Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Bankruptcies,1980-12-31T00:00:00,43694,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1981-12-31T00:00:00,48125,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1982-12-31T00:00:00,69300,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1983-12-31T00:00:00,62436,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1984-12-31T00:00:00,64004,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1985-12-31T00:00:00,71277,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1986-12-31T00:00:00,81235,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1987-12-31T00:00:00,82446,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1988-12-31T00:00:00,63853,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1989-12-31T00:00:00,63235,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1990-03-31T00:00:00,64277,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1990-06-30T00:00:00,64688,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1990-09-30T00:00:00,64552,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1990-12-31T00:00:00,64853,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1991-03-31T00:00:00,65768,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1991-06-30T00:00:00,67714,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1991-09-30T00:00:00,70176,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1991-12-31T00:00:00,71549,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1992-03-31T00:00:00,73232,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1992-06-30T00:00:00,72650,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1992-09-30T00:00:00,71725,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1992-12-31T00:00:00,70643,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1993-03-31T00:00:00,68016,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1993-06-30T00:00:00,66428,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1993-09-30T00:00:00,64857,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1993-12-31T00:00:00,62304,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1994-03-31T00:00:00,59571,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1994-06-30T00:00:00,56748,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1994-09-30T00:00:00,54425,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1994-12-31T00:00:00,52374,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1995-03-31T00:00:00,51639,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1995-06-30T00:00:00,51238,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1995-09-30T00:00:00,51008,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1995-12-31T00:00:00,51959,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1996-03-31T00:00:00,52143,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1996-06-30T00:00:00,52919,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1996-09-30T00:00:00,53469,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1996-12-31T00:00:00,53549,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1997-03-31T00:00:00,53908,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1997-06-30T00:00:00,53907,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1997-09-30T00:00:00,54165,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1997-12-31T00:00:00,54027,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1998-03-31T00:00:00,52638,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1998-06-30T00:00:00,50202,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1998-09-30T00:00:00,50202,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1998-12-31T00:00:00,44367,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1999-03-31T00:00:00,41128,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1999-06-30T00:00:00,39934,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1999-09-30T00:00:00,38625,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
United States,Bankruptcies,1999-12-31T00:00:00,37884,Quarterly,UNITEDSTABAN,2015-04-25T14:40:00
