Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Price Index CPI,1950-01-31T00:00:00,23.5,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-02-28T00:00:00,23.5,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-03-31T00:00:00,23.6,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-04-30T00:00:00,23.6,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-05-31T00:00:00,23.7,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-06-30T00:00:00,23.8,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-07-31T00:00:00,24.1,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-08-31T00:00:00,24.3,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-09-30T00:00:00,24.4,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-10-31T00:00:00,24.6,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-11-30T00:00:00,24.7,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1950-12-31T00:00:00,25,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1951-01-31T00:00:00,25.4,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1951-02-28T00:00:00,25.7,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1951-03-31T00:00:00,25.8,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1951-04-30T00:00:00,25.8,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
United States,Consumer Price Index CPI,1951-05-31T00:00:00,25.9,Monthly,UNITEDSTACONPRIINDCP,2022-06-17T11:01:00
