Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Spending,1950-03-31T00:00:00,1403.69,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1950-06-30T00:00:00,1426.807,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1950-09-30T00:00:00,1500.076,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1950-12-31T00:00:00,1454.855,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1951-03-31T00:00:00,1490.034,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1951-06-30T00:00:00,1447.928,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1951-09-30T00:00:00,1464.796,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1951-12-31T00:00:00,1473.33,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1952-03-31T00:00:00,1476.743,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1952-06-30T00:00:00,1505.663,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1952-09-30T00:00:00,1512.885,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1952-12-31T00:00:00,1566.256,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1953-03-31T00:00:00,1584.651,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1953-06-30T00:00:00,1594.191,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1953-09-30T00:00:00,1590.393,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1953-12-31T00:00:00,1579.729,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1954-03-31T00:00:00,1585.556,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1954-06-30T00:00:00,1606.146,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1954-09-30T00:00:00,1627.882,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1954-12-31T00:00:00,1662.047,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1955-03-31T00:00:00,1699.34,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1955-06-30T00:00:00,1731.894,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1955-09-30T00:00:00,1753.286,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1955-12-31T00:00:00,1775.302,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1956-03-31T00:00:00,1778.186,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1956-06-30T00:00:00,1784.101,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1956-09-30T00:00:00,1788.135,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1956-12-31T00:00:00,1812.786,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1957-03-31T00:00:00,1825.394,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1957-06-30T00:00:00,1828.576,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1957-09-30T00:00:00,1843.026,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1957-12-31T00:00:00,1843.793,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1958-03-31T00:00:00,1818.286,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1958-06-30T00:00:00,1833.319,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1958-09-30T00:00:00,1863.736,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1958-12-31T00:00:00,1889.052,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1959-03-31T00:00:00,1923.675,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1959-06-30T00:00:00,1953.384,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1959-09-30T00:00:00,1973.791,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1959-12-31T00:00:00,1976.014,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1960-03-31T00:00:00,1994.918,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1960-06-30T00:00:00,2020.082,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
United States,Consumer Spending,1960-09-30T00:00:00,2012.008,Quarterly,UNITEDSTACONSPE,2018-07-27T12:51:00
