Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Core Consumer Prices,1957-01-31T00:00:00,28.5,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-02-28T00:00:00,28.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-03-31T00:00:00,28.7,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-04-30T00:00:00,28.8,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-05-31T00:00:00,28.8,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-06-30T00:00:00,28.9,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1957-07-31T00:00:00,29,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-08-31T00:00:00,29,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-09-30T00:00:00,29.1,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1957-10-31T00:00:00,29.2,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-11-30T00:00:00,29.3,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1957-12-31T00:00:00,29.3,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1958-01-31T00:00:00,29.3,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-02-28T00:00:00,29.4,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1958-03-31T00:00:00,29.5,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1958-04-30T00:00:00,29.5,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-05-31T00:00:00,29.5,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-06-30T00:00:00,29.6,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1958-07-31T00:00:00,29.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-08-31T00:00:00,29.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-09-30T00:00:00,29.7,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-10-31T00:00:00,29.7,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1958-11-30T00:00:00,29.8,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1958-12-31T00:00:00,29.9,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-01-31T00:00:00,29.9,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-02-28T00:00:00,29.9,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1959-03-31T00:00:00,30,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1959-04-30T00:00:00,30,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-05-31T00:00:00,30.1,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-06-30T00:00:00,30.2,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-07-31T00:00:00,30.2,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-08-31T00:00:00,30.2,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1959-09-30T00:00:00,30.3,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-10-31T00:00:00,30.4,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1959-11-30T00:00:00,30.4,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1959-12-31T00:00:00,30.5,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-01-31T00:00:00,30.5,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-02-29T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-03-31T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-04-30T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-05-31T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1960-06-30T00:00:00,30.7,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-07-31T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-08-31T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-09-30T00:00:00,30.6,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-10-31T00:00:00,30.8,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1960-11-30T00:00:00,30.8,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1960-12-31T00:00:00,30.7,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-01-31T00:00:00,30.8,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1961-02-28T00:00:00,30.8,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-03-31T00:00:00,30.9,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-04-30T00:00:00,30.9,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1961-05-31T00:00:00,30.9,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-06-30T00:00:00,31,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-07-31T00:00:00,31,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1961-08-31T00:00:00,31.1,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-09-30T00:00:00,31.1,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
United States,Core Consumer Prices,1961-10-31T00:00:00,31.1,Monthly,UNITEDSTACORCONPRI,2015-04-25T14:50:00
United States,Core Consumer Prices,1961-11-30T00:00:00,31.2,Monthly,UNITEDSTACORCONPRI,2013-06-18T16:46:00
