Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Employed Persons,1948-01-31T00:00:00,58061,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-02-28T00:00:00,58196,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-03-31T00:00:00,57671,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-04-30T00:00:00,58291,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-05-31T00:00:00,57854,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-06-30T00:00:00,58743,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-07-31T00:00:00,58968,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-08-31T00:00:00,58456,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-09-30T00:00:00,58513,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-10-31T00:00:00,58387,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-11-30T00:00:00,58417,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1948-12-31T00:00:00,58740,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-01-31T00:00:00,58175,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-02-28T00:00:00,58208,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-03-31T00:00:00,58043,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-04-30T00:00:00,57747,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-05-31T00:00:00,57552,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-06-30T00:00:00,57172,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-07-31T00:00:00,57190,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-08-31T00:00:00,57397,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-09-30T00:00:00,57584,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-10-31T00:00:00,57269,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-11-30T00:00:00,58009,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1949-12-31T00:00:00,57845,Monthly,UNITEDSTAEMPPER,2020-01-10T13:58:00
United States,Employed Persons,1950-01-31T00:00:00,57635,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1950-02-28T00:00:00,57751,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-03-31T00:00:00,57728,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-04-30T00:00:00,58583,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1950-05-31T00:00:00,58649,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-06-30T00:00:00,59052,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-07-31T00:00:00,59001,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1950-08-31T00:00:00,59797,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-09-30T00:00:00,59575,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-10-31T00:00:00,59803,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1950-11-30T00:00:00,59697,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1950-12-31T00:00:00,59429,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-01-31T00:00:00,59636,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-02-28T00:00:00,59661,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-03-31T00:00:00,60401,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-04-30T00:00:00,59889,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1951-05-31T00:00:00,60188,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-06-30T00:00:00,59620,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-07-31T00:00:00,60156,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1951-08-31T00:00:00,59994,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-09-30T00:00:00,59713,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1951-10-31T00:00:00,60010,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-11-30T00:00:00,59836,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1951-12-31T00:00:00,60497,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1952-01-31T00:00:00,60460,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1952-02-29T00:00:00,60462,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1952-03-31T00:00:00,59908,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1952-04-30T00:00:00,59909,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1952-05-31T00:00:00,60195,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
United States,Employed Persons,1952-06-30T00:00:00,60219,Monthly,UNITEDSTAEMPPER,2015-04-25T14:56:00
United States,Employed Persons,1952-07-31T00:00:00,59971,Monthly,UNITEDSTAEMPPER,2013-11-08T14:09:00
