Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Energy Inflation,1958-01-31T00:00:00,1.878,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-02-28T00:00:00,-0.465,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-03-31T00:00:00,-0.463,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-04-30T00:00:00,-0.93,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-05-31T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-06-30T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-07-31T00:00:00,0.465,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-08-31T00:00:00,1.869,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-09-30T00:00:00,0.93,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-10-31T00:00:00,1.402,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-11-30T00:00:00,-0.463,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1958-12-31T00:00:00,-0.926,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-01-31T00:00:00,-0.922,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-02-28T00:00:00,1.402,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-03-31T00:00:00,1.395,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-04-30T00:00:00,2.347,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-05-31T00:00:00,1.402,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-06-30T00:00:00,1.402,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-07-31T00:00:00,0.463,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-08-31T00:00:00,0.459,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-09-30T00:00:00,1.382,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-10-31T00:00:00,2.765,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-11-30T00:00:00,3.721,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1959-12-31T00:00:00,4.673,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-01-31T00:00:00,4.186,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-02-29T00:00:00,2.765,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-03-31T00:00:00,2.294,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-04-30T00:00:00,2.294,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-05-31T00:00:00,1.843,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-06-30T00:00:00,2.765,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-07-31T00:00:00,3.226,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-08-31T00:00:00,3.196,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-09-30T00:00:00,2.727,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-10-31T00:00:00,0.897,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-11-30T00:00:00,1.794,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1960-12-31T00:00:00,1.339,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-01-31T00:00:00,1.786,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-02-28T00:00:00,1.794,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-03-31T00:00:00,1.794,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-04-30T00:00:00,-0.448,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-05-31T00:00:00,0.452,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-06-30T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-07-31T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-08-31T00:00:00,-0.442,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-09-30T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-10-31T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-11-30T00:00:00,-0.441,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1961-12-31T00:00:00,-1.322,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-01-31T00:00:00,-1.316,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-02-28T00:00:00,-0.441,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-03-31T00:00:00,-0.881,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-04-30T00:00:00,2.252,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-05-31T00:00:00,1.351,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-06-30T00:00:00,0.448,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-07-31T00:00:00,-0.893,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-08-31T00:00:00,-0.444,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-09-30T00:00:00,0.885,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-10-31T00:00:00,1.333,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-11-30T00:00:00,0.442,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1962-12-31T00:00:00,2.232,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-01-31T00:00:00,1.778,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-02-28T00:00:00,0.442,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-03-31T00:00:00,0.889,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-04-30T00:00:00,-0.881,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-05-31T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-06-30T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-07-31T00:00:00,1.802,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-08-31T00:00:00,0.893,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-09-30T00:00:00,-0.877,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-10-31T00:00:00,-0.439,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-11-30T00:00:00,-0.441,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1963-12-31T00:00:00,-0.873,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1964-01-31T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1964-02-29T00:00:00,-2.203,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1964-03-31T00:00:00,-0.441,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1964-04-30T00:00:00,0,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1964-05-31T00:00:00,-0.444,Monthly,USAENEINF,2022-02-11T14:59:00
United States,Energy Inflation,1964-06-30T00:00:00,0.446,Monthly,USAENEINF,2022-02-11T14:59:00
