Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Gasoline Prices,1991-02-28T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-03-31T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-04-30T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-05-31T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-06-30T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-07-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-08-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-09-30T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-10-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-11-30T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1991-12-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-01-31T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-02-29T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-03-31T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-04-30T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-05-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-06-30T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-07-31T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-08-31T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-09-30T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-10-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-11-30T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1992-12-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-01-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-02-28T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-03-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-04-30T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-05-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-06-30T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-07-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-08-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-09-30T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-10-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-11-30T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1993-12-31T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-01-31T00:00:00,0.26,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-02-28T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-03-31T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-04-30T00:00:00,0.27,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-05-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-06-30T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-07-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-08-31T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-09-30T00:00:00,0.3,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-10-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-11-30T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1994-12-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1995-01-31T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1995-02-28T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1995-03-31T00:00:00,0.28,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1995-04-30T00:00:00,0.29,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1995-05-31T00:00:00,0.31,Monthly,UnitedStGasPri,2019-02-15T18:45:00
United States,Gasoline Prices,1995-06-30T00:00:00,0.31,Monthly,UnitedStGasPri,2019-02-15T18:45:00
