Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Payrolls,1939-02-28T00:00:00,13,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-03-31T00:00:00,1,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-04-30T00:00:00,0,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-05-31T00:00:00,4,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-06-30T00:00:00,-3,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-07-31T00:00:00,16,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-08-31T00:00:00,27,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-09-30T00:00:00,30,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-10-31T00:00:00,13,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-11-30T00:00:00,20,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1939-12-31T00:00:00,25,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-01-31T00:00:00,16,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-02-29T00:00:00,0,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-03-31T00:00:00,1,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-04-30T00:00:00,1,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-05-31T00:00:00,20,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-06-30T00:00:00,46,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-07-31T00:00:00,43,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-08-31T00:00:00,21,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-09-30T00:00:00,30,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-10-31T00:00:00,41,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-11-30T00:00:00,43,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1940-12-31T00:00:00,19,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-01-31T00:00:00,53,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-02-28T00:00:00,36,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-03-31T00:00:00,31,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-04-30T00:00:00,50,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-05-31T00:00:00,57,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-06-30T00:00:00,59,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-07-31T00:00:00,49,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-08-31T00:00:00,71,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-09-30T00:00:00,70,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-10-31T00:00:00,16,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-11-30T00:00:00,42,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1941-12-31T00:00:00,22,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
United States,Government Payrolls,1942-01-31T00:00:00,118,Monthly,UNITEDSTAGOVPAY,2019-06-07T13:11:00
