Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Interest Rate,1971-08-04T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-08-16T00:00:00,5.75,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-09-01T00:00:00,5.13,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-10-01T00:00:00,5.13,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-11-01T00:00:00,5.13,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-11-08T00:00:00,5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-11-12T00:00:00,4.75,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-11-29T00:00:00,4.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-12-01T00:00:00,4.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-12-16T00:00:00,4.13,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-12-17T00:00:00,4,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1971-12-20T00:00:00,3.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-01-03T00:00:00,3.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-02-01T00:00:00,3.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-03-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-04-03T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-05-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-06-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-07-03T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-08-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-09-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-10-02T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-11-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1972-12-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1973-01-01T00:00:00,5.5,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1973-01-04T00:00:00,5.75,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1973-01-15T00:00:00,5.88,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1973-01-19T00:00:00,6,Daily,FDTR,2011-06-27T00:00:00
United States,Interest Rate,1973-02-01T00:00:00,6,Daily,FDTR,2011-06-27T00:00:00
