Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Job Quits,2000-12-31T00:00:00,2882,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-01-31T00:00:00,3245,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-02-28T00:00:00,3053,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-03-31T00:00:00,3054,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-04-30T00:00:00,3163,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-05-31T00:00:00,2993,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-06-30T00:00:00,2878,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-07-31T00:00:00,2947,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-08-31T00:00:00,2928,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-09-30T00:00:00,2703,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-10-31T00:00:00,2795,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-11-30T00:00:00,2560,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2001-12-31T00:00:00,2559,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-01-31T00:00:00,2845,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-02-28T00:00:00,2572,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-03-31T00:00:00,2493,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-04-30T00:00:00,2624,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-05-31T00:00:00,2537,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-06-30T00:00:00,2522,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-07-31T00:00:00,2561,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-08-31T00:00:00,2561,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-09-30T00:00:00,2521,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-10-31T00:00:00,2423,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-11-30T00:00:00,2403,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2002-12-31T00:00:00,2501,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-01-31T00:00:00,2429,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-02-28T00:00:00,2490,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-03-31T00:00:00,2394,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-04-30T00:00:00,2279,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-05-31T00:00:00,2291,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-06-30T00:00:00,2315,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-07-31T00:00:00,2271,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-08-31T00:00:00,2195,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-09-30T00:00:00,2354,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-10-31T00:00:00,2415,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-11-30T00:00:00,2411,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2003-12-31T00:00:00,2444,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-01-31T00:00:00,2354,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-02-29T00:00:00,2448,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-03-31T00:00:00,2582,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-04-30T00:00:00,2534,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-05-31T00:00:00,2428,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-06-30T00:00:00,2659,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-07-31T00:00:00,2609,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-08-31T00:00:00,2586,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-09-30T00:00:00,2531,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-10-31T00:00:00,2550,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-11-30T00:00:00,2789,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2004-12-31T00:00:00,2695,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-01-31T00:00:00,2732,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-02-28T00:00:00,2651,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-03-31T00:00:00,2747,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-04-30T00:00:00,2741,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-05-31T00:00:00,2763,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-06-30T00:00:00,2754,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-07-31T00:00:00,2735,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-08-31T00:00:00,2957,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-09-30T00:00:00,3046,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-10-31T00:00:00,2863,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-11-30T00:00:00,2895,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2005-12-31T00:00:00,2849,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-01-31T00:00:00,2945,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-02-28T00:00:00,2965,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-03-31T00:00:00,2956,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-04-30T00:00:00,2778,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-05-31T00:00:00,3002,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-06-30T00:00:00,3042,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-07-31T00:00:00,3047,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-08-31T00:00:00,3056,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-09-30T00:00:00,2888,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-10-31T00:00:00,2983,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-11-30T00:00:00,3043,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2006-12-31T00:00:00,2999,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-01-31T00:00:00,2956,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-02-28T00:00:00,2933,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-03-31T00:00:00,2997,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-04-30T00:00:00,2911,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-05-31T00:00:00,3010,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-06-30T00:00:00,2910,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-07-31T00:00:00,2951,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-08-31T00:00:00,3014,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-09-30T00:00:00,2691,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-10-31T00:00:00,2926,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-11-30T00:00:00,2784,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2007-12-31T00:00:00,2773,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-01-31T00:00:00,2847,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-02-29T00:00:00,2881,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-03-31T00:00:00,2661,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-04-30T00:00:00,2837,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-05-31T00:00:00,2607,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-06-30T00:00:00,2595,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-07-31T00:00:00,2489,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-08-31T00:00:00,2445,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-09-30T00:00:00,2468,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-10-31T00:00:00,2347,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-11-30T00:00:00,2157,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2008-12-31T00:00:00,2084,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-01-31T00:00:00,1976,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-02-28T00:00:00,1952,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-03-31T00:00:00,1834,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-04-30T00:00:00,1712,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-05-31T00:00:00,1683,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-06-30T00:00:00,1685,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-07-31T00:00:00,1685,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-08-31T00:00:00,1555,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-09-30T00:00:00,1627,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-10-31T00:00:00,1660,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-11-30T00:00:00,1810,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2009-12-31T00:00:00,1766,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-01-31T00:00:00,1742,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-02-28T00:00:00,1844,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-03-31T00:00:00,1856,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-04-30T00:00:00,1897,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-05-31T00:00:00,1813,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-06-30T00:00:00,1911,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-07-31T00:00:00,1785,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-08-31T00:00:00,1842,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-09-30T00:00:00,1895,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-10-31T00:00:00,1846,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-11-30T00:00:00,1887,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2010-12-31T00:00:00,1977,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-01-31T00:00:00,1832,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-02-28T00:00:00,1958,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-03-31T00:00:00,2033,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-04-30T00:00:00,1882,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-05-31T00:00:00,1965,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-06-30T00:00:00,1923,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-07-31T00:00:00,1986,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-08-31T00:00:00,2031,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-09-30T00:00:00,2041,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-10-31T00:00:00,1997,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-11-30T00:00:00,2039,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2011-12-31T00:00:00,1981,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-01-31T00:00:00,2030,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-02-29T00:00:00,2130,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-03-31T00:00:00,2167,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-04-30T00:00:00,2134,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-05-31T00:00:00,2138,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-06-30T00:00:00,2152,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-07-31T00:00:00,2072,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-08-31T00:00:00,2069,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-09-30T00:00:00,1950,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-10-31T00:00:00,2035,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-11-30T00:00:00,2078,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2012-12-31T00:00:00,2051,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-01-31T00:00:00,2280,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-02-28T00:00:00,2298,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-03-31T00:00:00,2124,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-04-30T00:00:00,2296,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-05-31T00:00:00,2234,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-06-30T00:00:00,2203,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-07-31T00:00:00,2363,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-08-31T00:00:00,2316,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-09-30T00:00:00,2302,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-10-31T00:00:00,2372,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-11-30T00:00:00,2391,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2013-12-31T00:00:00,2287,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-01-31T00:00:00,2311,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-02-28T00:00:00,2411,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-03-31T00:00:00,2449,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-04-30T00:00:00,2474,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-05-31T00:00:00,2483,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-06-30T00:00:00,2507,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-07-31T00:00:00,2633,Monthly,USAJOBQUI,2021-11-12T19:04:00
United States,Job Quits,2014-08-31T00:00:00,2549,Monthly,USAJOBQUI,2021-11-12T19:04:00
