Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Job Quits Rate,2000-12-31T00:00:00,2.2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-01-31T00:00:00,2.4,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-02-28T00:00:00,2.3,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-03-31T00:00:00,2.3,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-04-30T00:00:00,2.4,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-05-31T00:00:00,2.3,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-06-30T00:00:00,2.2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-07-31T00:00:00,2.2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-08-31T00:00:00,2.2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-09-30T00:00:00,2.1,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-10-31T00:00:00,2.1,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-11-30T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2001-12-31T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-01-31T00:00:00,2.2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-02-28T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-03-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-04-30T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-05-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-06-30T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-07-31T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-08-31T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-09-30T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-10-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-11-30T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2002-12-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-01-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-02-28T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-03-31T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-04-30T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-05-31T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-06-30T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-07-31T00:00:00,1.7,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-08-31T00:00:00,1.7,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-09-30T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-10-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-11-30T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2003-12-31T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2004-01-31T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2004-02-29T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2004-03-31T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2004-04-30T00:00:00,1.9,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2004-05-31T00:00:00,1.8,Monthly,USAJQR,2021-11-12T19:32:00
United States,Job Quits Rate,2004-06-30T00:00:00,2,Monthly,USAJQR,2021-11-12T19:32:00
