Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Labour Costs,1950-03-31T00:00:00,17.008,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1950-06-30T00:00:00,17.163,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1950-09-30T00:00:00,17.129,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1950-12-31T00:00:00,17.525,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1951-03-31T00:00:00,17.923,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1951-06-30T00:00:00,18.378,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1951-09-30T00:00:00,18.176,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1951-12-31T00:00:00,18.469,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1952-03-31T00:00:00,18.568,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1952-06-30T00:00:00,18.745,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1952-09-30T00:00:00,19.07,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1952-12-31T00:00:00,19.146,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1953-03-31T00:00:00,19.2,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1953-06-30T00:00:00,19.38,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1953-09-30T00:00:00,19.503,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1953-12-31T00:00:00,19.764,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1954-03-31T00:00:00,19.891,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1954-06-30T00:00:00,19.776,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1954-09-30T00:00:00,19.581,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1954-12-31T00:00:00,19.554,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1955-03-31T00:00:00,19.309,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1955-06-30T00:00:00,19.399,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1955-09-30T00:00:00,19.673,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1955-12-31T00:00:00,19.923,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1956-03-31T00:00:00,20.479,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1956-06-30T00:00:00,20.772,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1956-09-30T00:00:00,21.095,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1956-12-31T00:00:00,21.223,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1957-03-31T00:00:00,21.282,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1957-06-30T00:00:00,21.583,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1957-09-30T00:00:00,21.566,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1957-12-31T00:00:00,21.782,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1958-03-31T00:00:00,22.088,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1958-06-30T00:00:00,21.871,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1958-09-30T00:00:00,21.965,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1958-12-31T00:00:00,21.685,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1959-03-31T00:00:00,21.869,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1959-06-30T00:00:00,21.842,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1959-09-30T00:00:00,21.941,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1959-12-31T00:00:00,22.222,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1960-03-31T00:00:00,22.178,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1960-06-30T00:00:00,22.676,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1960-09-30T00:00:00,22.676,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1960-12-31T00:00:00,23.077,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1961-03-31T00:00:00,22.985,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1961-06-30T00:00:00,22.708,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1961-09-30T00:00:00,22.495,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1961-12-31T00:00:00,22.468,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1962-03-31T00:00:00,22.457,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1962-06-30T00:00:00,22.699,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1962-09-30T00:00:00,22.484,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1962-12-31T00:00:00,22.518,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1963-03-31T00:00:00,22.677,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1963-06-30T00:00:00,22.62,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1963-09-30T00:00:00,22.303,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1963-12-31T00:00:00,22.575,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1964-03-31T00:00:00,22.368,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1964-06-30T00:00:00,22.491,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1964-09-30T00:00:00,22.555,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1964-12-31T00:00:00,22.941,Quarterly,UNITEDSTALABCOS,2021-12-07T13:37:00
United States,Labour Costs,1965-03-31T00:00:00,22.71,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
