Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Minimum Wages,1938-12-31T00:00:00,0.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1939-12-31T00:00:00,0.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1940-12-31T00:00:00,0.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1941-12-31T00:00:00,0.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1942-12-31T00:00:00,0.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1943-12-31T00:00:00,0.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1944-12-31T00:00:00,0.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1945-12-31T00:00:00,0.4,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1946-12-31T00:00:00,0.4,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1947-12-31T00:00:00,0.4,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1948-12-31T00:00:00,0.4,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1949-12-31T00:00:00,0.4,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1950-12-31T00:00:00,0.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1951-12-31T00:00:00,0.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1952-12-31T00:00:00,0.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1953-12-31T00:00:00,0.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1954-12-31T00:00:00,0.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1955-12-31T00:00:00,0.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1956-12-31T00:00:00,1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1957-12-31T00:00:00,1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1958-12-31T00:00:00,1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1959-12-31T00:00:00,1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1960-12-31T00:00:00,1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1961-12-31T00:00:00,1.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1962-12-31T00:00:00,1.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1963-12-31T00:00:00,1.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1964-12-31T00:00:00,1.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1965-12-31T00:00:00,1.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1966-12-31T00:00:00,1.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1967-12-31T00:00:00,1.4,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1968-12-31T00:00:00,1.6,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1969-12-31T00:00:00,1.6,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1970-12-31T00:00:00,1.6,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1971-12-31T00:00:00,1.6,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1972-12-31T00:00:00,1.6,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1973-12-31T00:00:00,1.6,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1974-12-31T00:00:00,2,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1975-12-31T00:00:00,2.1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1976-12-31T00:00:00,2.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1977-12-31T00:00:00,2.3,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1978-12-31T00:00:00,2.65,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1979-12-31T00:00:00,2.9,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1980-12-31T00:00:00,3.1,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1981-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1982-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1983-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1984-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1985-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1986-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1987-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1988-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1989-12-31T00:00:00,3.35,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1990-12-31T00:00:00,3.8,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1991-12-31T00:00:00,4.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1992-12-31T00:00:00,4.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1993-12-31T00:00:00,4.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1994-12-31T00:00:00,4.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1995-12-31T00:00:00,4.25,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1996-12-31T00:00:00,4.75,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1997-12-31T00:00:00,5.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1998-12-31T00:00:00,5.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,1999-12-31T00:00:00,5.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,2000-12-31T00:00:00,5.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,2001-12-31T00:00:00,5.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
United States,Minimum Wages,2002-12-31T00:00:00,5.15,Yearly,UNITEDSTAMINWAG,2014-11-20T16:29:00
