Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,New Home Sales,1963-01-31T00:00:00,591,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-02-28T00:00:00,464,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-03-31T00:00:00,461,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-04-30T00:00:00,605,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-05-31T00:00:00,586,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-06-30T00:00:00,526,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1963-07-31T00:00:00,665,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-08-31T00:00:00,570,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-09-30T00:00:00,590,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1963-10-31T00:00:00,567,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-11-30T00:00:00,579,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1963-12-31T00:00:00,514,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1964-01-31T00:00:00,549,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-02-29T00:00:00,609,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1964-03-31T00:00:00,562,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1964-04-30T00:00:00,559,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-05-31T00:00:00,523,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-06-30T00:00:00,580,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-07-31T00:00:00,575,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-08-31T00:00:00,582,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1964-09-30T00:00:00,590,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-10-31T00:00:00,583,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1964-11-30T00:00:00,548,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1964-12-31T00:00:00,540,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-01-31T00:00:00,533,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-02-28T00:00:00,559,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-03-31T00:00:00,556,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-04-30T00:00:00,555,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-05-31T00:00:00,544,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1965-06-30T00:00:00,614,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-07-31T00:00:00,554,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-08-31T00:00:00,615,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1965-09-30T00:00:00,587,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-10-31T00:00:00,555,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-11-30T00:00:00,616,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1965-12-31T00:00:00,609,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-01-31T00:00:00,599,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1966-02-28T00:00:00,541,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-03-31T00:00:00,557,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-04-30T00:00:00,545,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-05-31T00:00:00,499,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1966-06-30T00:00:00,434,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-07-31T00:00:00,435,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-08-31T00:00:00,377,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-09-30T00:00:00,358,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-10-31T00:00:00,387,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1966-11-30T00:00:00,382,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1966-12-31T00:00:00,369,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-01-31T00:00:00,416,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1967-02-28T00:00:00,408,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-03-31T00:00:00,439,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-04-30T00:00:00,479,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1967-05-31T00:00:00,503,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-06-30T00:00:00,499,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-07-31T00:00:00,515,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1967-08-31T00:00:00,504,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-09-30T00:00:00,531,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-10-31T00:00:00,566,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1967-11-30T00:00:00,500,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1967-12-31T00:00:00,502,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-01-31T00:00:00,494,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-02-29T00:00:00,543,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-03-31T00:00:00,490,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-04-30T00:00:00,501,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-05-31T00:00:00,441,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-06-30T00:00:00,441,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1968-07-31T00:00:00,493,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-08-31T00:00:00,507,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-09-30T00:00:00,501,Monthly,UNITEDSTANEWHOMSAL,2015-04-25T21:15:00
United States,New Home Sales,1968-10-31T00:00:00,502,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
United States,New Home Sales,1968-11-30T00:00:00,469,Monthly,UNITEDSTANEWHOMSAL,2014-05-23T15:23:00
