Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Oil Exports,1989-01-31T00:00:00,18.665,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-02-28T00:00:00,2.475,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-03-31T00:00:00,5.433,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-04-30T00:00:00,3.817,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-05-31T00:00:00,7.498,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-06-30T00:00:00,6.679,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-07-31T00:00:00,6.19,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-08-31T00:00:00,1.168,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-09-30T00:00:00,5.988,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-10-31T00:00:00,2.521,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-11-30T00:00:00,2.127,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1989-12-31T00:00:00,2.284,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-01-31T00:00:00,9.901,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-02-28T00:00:00,17.855,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-03-31T00:00:00,15.303,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-04-30T00:00:00,20.145,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-05-31T00:00:00,7.8,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-06-30T00:00:00,5.944,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-07-31T00:00:00,8.059,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-08-31T00:00:00,22.195,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-09-30T00:00:00,9.698,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-10-31T00:00:00,12.572,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-11-30T00:00:00,5.099,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1990-12-31T00:00:00,64.038,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-01-31T00:00:00,9.713,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-02-28T00:00:00,4.693,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-03-31T00:00:00,8.528,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-04-30T00:00:00,2.601,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-05-31T00:00:00,3.803,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-06-30T00:00:00,1.428,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
United States,Oil Exports,1991-07-31T00:00:00,2.031,Monthly,UNITEDSTAOILEXP,2020-06-02T15:03:00
