Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Part Time Employment,1968-01-31T00:00:00,10086,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-02-29T00:00:00,10425,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-03-31T00:00:00,10334,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-04-30T00:00:00,10440,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-05-31T00:00:00,10788,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-06-30T00:00:00,10752,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-07-31T00:00:00,10678,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-08-31T00:00:00,10597,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-09-30T00:00:00,10863,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-10-31T00:00:00,10737,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-11-30T00:00:00,10949,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1968-12-31T00:00:00,11033,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-01-31T00:00:00,11015,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-02-28T00:00:00,11064,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-03-31T00:00:00,11011,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-04-30T00:00:00,11264,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-05-31T00:00:00,11257,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-06-30T00:00:00,11299,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-07-31T00:00:00,11234,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-08-31T00:00:00,11207,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
United States,Part Time Employment,1969-09-30T00:00:00,11307,Monthly,UNITEDSTAPARTIMEMP,2015-12-28T17:46:00
