Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Population,1900-12-31T00:00:00,76.09,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1901-12-31T00:00:00,77.58,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1902-12-31T00:00:00,79.16,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1903-12-31T00:00:00,80.63,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1904-12-31T00:00:00,82.17,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1905-12-31T00:00:00,83.82,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1906-12-31T00:00:00,85.45,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1907-12-31T00:00:00,87.01,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1908-12-31T00:00:00,88.71,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1909-12-31T00:00:00,90.49,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1910-12-31T00:00:00,92.41,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1911-12-31T00:00:00,93.86,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1912-12-31T00:00:00,95.34,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1913-12-31T00:00:00,97.23,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1914-12-31T00:00:00,99.11,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1915-12-31T00:00:00,100.55,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1916-12-31T00:00:00,101.96,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1917-12-31T00:00:00,103.27,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1918-12-31T00:00:00,103.21,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1919-12-31T00:00:00,104.51,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1920-12-31T00:00:00,106.46,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1921-12-31T00:00:00,108.54,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1922-12-31T00:00:00,110.05,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1923-12-31T00:00:00,111.95,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1924-12-31T00:00:00,114.11,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1925-12-31T00:00:00,115.83,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1926-12-31T00:00:00,117.4,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1927-12-31T00:00:00,119.04,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1928-12-31T00:00:00,120.51,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1929-12-31T00:00:00,121.77,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1930-12-31T00:00:00,123.08,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1931-12-31T00:00:00,124.04,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
United States,Population,1932-12-31T00:00:00,124.84,Yearly,USA SP.POP.TOTL,2014-09-10T16:29:00
