Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Price to Rent Ratio,1970-03-31T00:00:00,93.5525,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1970-06-30T00:00:00,91.9308,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1970-09-30T00:00:00,92.0048,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1970-12-31T00:00:00,91.9977,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1971-03-31T00:00:00,93.5979,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1971-06-30T00:00:00,96.1677,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1971-09-30T00:00:00,95.8795,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1971-12-31T00:00:00,97.4696,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1972-03-31T00:00:00,95.9344,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1972-06-30T00:00:00,97.7476,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1972-09-30T00:00:00,98.7355,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1972-12-31T00:00:00,100.6594,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1973-03-31T00:00:00,103.6017,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1973-06-30T00:00:00,104.9767,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1973-09-30T00:00:00,106.297,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1973-12-31T00:00:00,105.6391,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1974-03-31T00:00:00,105.3792,Quarterly,USOHPRRNF,2022-06-22T17:26:00
United States,Price to Rent Ratio,1974-06-30T00:00:00,105.1242,Quarterly,USOHPRRNF,2022-06-22T17:26:00
