Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Productivity,1950-03-31T00:00:00,26.24,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1950-06-30T00:00:00,26.57,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1950-09-30T00:00:00,27.15,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1950-12-31T00:00:00,27.2,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1951-03-31T00:00:00,27.23,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1951-06-30T00:00:00,27.14,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1951-09-30T00:00:00,27.75,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1951-12-31T00:00:00,27.83,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1952-03-31T00:00:00,27.97,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1952-06-30T00:00:00,27.92,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1952-09-30T00:00:00,27.78,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1952-12-31T00:00:00,28.36,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1953-03-31T00:00:00,28.61,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1953-06-30T00:00:00,28.68,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1953-09-30T00:00:00,28.8,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1953-12-31T00:00:00,28.7,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1954-03-31T00:00:00,28.76,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1954-06-30T00:00:00,28.96,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1954-09-30T00:00:00,29.48,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1954-12-31T00:00:00,29.81,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1955-03-31T00:00:00,30.4,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1955-06-30T00:00:00,30.5,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1955-09-30T00:00:00,30.61,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1955-12-31T00:00:00,30.5,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1956-03-31T00:00:00,30.14,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1956-06-30T00:00:00,30.28,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1956-09-30T00:00:00,30.28,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1956-12-31T00:00:00,30.6,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1957-03-31T00:00:00,30.96,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1957-06-30T00:00:00,30.83,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1957-09-30T00:00:00,31.27,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1957-12-31T00:00:00,31.37,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1958-03-31T00:00:00,30.94,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1958-06-30T00:00:00,31.53,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1958-09-30T00:00:00,32.13,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1958-12-31T00:00:00,32.67,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1959-03-31T00:00:00,32.71,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1959-06-30T00:00:00,33.03,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1959-09-30T00:00:00,33.07,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1959-12-31T00:00:00,32.96,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1960-03-31T00:00:00,33.74,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1960-06-30T00:00:00,33.21,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1960-09-30T00:00:00,33.41,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1960-12-31T00:00:00,32.96,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1961-03-31T00:00:00,33.39,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1961-06-30T00:00:00,34.27,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1961-09-30T00:00:00,34.85,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1961-12-31T00:00:00,35.15,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1962-03-31T00:00:00,35.73,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1962-06-30T00:00:00,35.58,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1962-09-30T00:00:00,36.18,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1962-12-31T00:00:00,36.44,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1963-03-31T00:00:00,36.55,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1963-06-30T00:00:00,36.83,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1963-09-30T00:00:00,37.73,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1963-12-31T00:00:00,37.7,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
United States,Productivity,1964-03-31T00:00:00,37.94,Quarterly,UNITEDSTAPRO,2022-11-03T12:39:00
