Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Real Consumer Spending,1950-03-31T00:00:00,6.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1950-06-30T00:00:00,6.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1950-09-30T00:00:00,22.2,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1950-12-31T00:00:00,-11.5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1951-03-31T00:00:00,10,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1951-06-30T00:00:00,-10.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1951-09-30T00:00:00,4.7,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1951-12-31T00:00:00,2.4,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1952-03-31T00:00:00,0.9,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1952-06-30T00:00:00,8.1,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1952-09-30T00:00:00,1.9,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1952-12-31T00:00:00,14.9,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1953-03-31T00:00:00,4.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1953-06-30T00:00:00,2.4,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1953-09-30T00:00:00,-1,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1953-12-31T00:00:00,-2.6,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1954-03-31T00:00:00,1.5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1954-06-30T00:00:00,5.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1954-09-30T00:00:00,5.5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1954-12-31T00:00:00,8.7,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1955-03-31T00:00:00,9.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1955-06-30T00:00:00,7.9,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1955-09-30T00:00:00,5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1955-12-31T00:00:00,5.1,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1956-03-31T00:00:00,0.6,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1956-06-30T00:00:00,1.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1956-09-30T00:00:00,0.9,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1956-12-31T00:00:00,5.6,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1957-03-31T00:00:00,2.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1957-06-30T00:00:00,0.7,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1957-09-30T00:00:00,3.2,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1957-12-31T00:00:00,0.1,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1958-03-31T00:00:00,-5.4,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1958-06-30T00:00:00,3.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1958-09-30T00:00:00,6.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1958-12-31T00:00:00,5.6,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1959-03-31T00:00:00,7.5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1959-06-30T00:00:00,6.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1959-09-30T00:00:00,4.2,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1959-12-31T00:00:00,0.5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1960-03-31T00:00:00,3.9,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1960-06-30T00:00:00,5.1,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1960-09-30T00:00:00,-1.6,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1960-12-31T00:00:00,0.5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1961-03-31T00:00:00,-0.2,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1961-06-30T00:00:00,6.1,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1961-09-30T00:00:00,2,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1961-12-31T00:00:00,8.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1962-03-31T00:00:00,4.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1962-06-30T00:00:00,5,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1962-09-30T00:00:00,3.3,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1962-12-31T00:00:00,5.8,Quarterly,USARCS,2021-10-27T10:54:00
United States,Real Consumer Spending,1963-03-31T00:00:00,2.8,Quarterly,USARCS,2021-10-27T10:54:00
