Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Retail Sales YoY,1993-01-31T00:00:00,6.7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-02-28T00:00:00,5.8,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-03-31T00:00:00,5.2,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-04-30T00:00:00,7.3,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-05-31T00:00:00,7.7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-06-30T00:00:00,7.3,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-07-31T00:00:00,8.1,Monthly,USARetailSalesYoY,2018-05-28T11:17:00
United States,Retail Sales YoY,1993-08-31T00:00:00,7.7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-09-30T00:00:00,7.3,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-10-31T00:00:00,7.2,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-11-30T00:00:00,8,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1993-12-31T00:00:00,7.7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-01-31T00:00:00,5.7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-02-28T00:00:00,8.2,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-03-31T00:00:00,11.2,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-04-30T00:00:00,8.4,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-05-31T00:00:00,7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-06-30T00:00:00,8.4,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-07-31T00:00:00,7.2,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-08-31T00:00:00,8.6,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-09-30T00:00:00,8.8,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-10-31T00:00:00,9.1,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-11-30T00:00:00,8.1,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1994-12-31T00:00:00,7.7,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-01-31T00:00:00,8.9,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-02-28T00:00:00,5.5,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-03-31T00:00:00,4.5,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-04-30T00:00:00,4.9,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-05-31T00:00:00,6.3,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-06-30T00:00:00,6.4,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-07-31T00:00:00,5.8,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
United States,Retail Sales YoY,1995-08-31T00:00:00,5.3,Monthly,USARetailSalesYoY,2016-05-13T14:19:00
