Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Retirement Age Men,2009-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2013-11-27T18:24:00
United States,Retirement Age Men,2010-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2013-11-27T18:24:00
United States,Retirement Age Men,2011-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2013-11-27T18:24:00
United States,Retirement Age Men,2012-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2013-11-27T18:24:00
United States,Retirement Age Men,2013-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2013-11-27T18:24:00
United States,Retirement Age Men,2014-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2015-05-06T09:37:00
United States,Retirement Age Men,2015-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2015-05-06T09:37:00
United States,Retirement Age Men,2016-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2017-02-21T15:58:00
United States,Retirement Age Men,2017-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2018-03-12T13:44:00
United States,Retirement Age Men,2018-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2018-03-12T13:45:00
United States,Retirement Age Men,2019-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2020-04-14T15:54:00
United States,Retirement Age Men,2020-12-31T00:00:00,66,Yearly,UnitedStRetAgeMen,2021-02-04T15:15:00
United States,Retirement Age Men,2021-12-31T00:00:00,66.17,Yearly,UnitedStRetAgeMen,2021-10-12T10:20:00
United States,Retirement Age Men,2022-12-31T00:00:00,66.33,Yearly,UnitedStRetAgeMen,2022-09-27T02:15:00
