Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Retirement Age Women,2009-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2013-11-27T18:28:00
United States,Retirement Age Women,2010-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2013-11-27T18:28:00
United States,Retirement Age Women,2011-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2013-11-27T18:28:00
United States,Retirement Age Women,2012-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2013-11-27T18:28:00
United States,Retirement Age Women,2013-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2013-11-27T18:28:00
United States,Retirement Age Women,2014-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2015-05-06T09:38:00
United States,Retirement Age Women,2015-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2015-05-06T09:38:00
United States,Retirement Age Women,2016-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2017-02-21T15:59:00
United States,Retirement Age Women,2017-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2017-02-21T15:59:00
United States,Retirement Age Women,2018-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2018-03-12T13:46:00
United States,Retirement Age Women,2019-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2020-04-14T15:55:00
United States,Retirement Age Women,2020-12-31T00:00:00,66,Yearly,UnitedStRetAgeWom,2021-02-04T15:16:00
United States,Retirement Age Women,2021-12-31T00:00:00,66.17,Yearly,UnitedStRetAgeWom,2021-10-12T10:20:00
United States,Retirement Age Women,2022-12-31T00:00:00,66.33,Yearly,UnitedStRetAgeWom,2022-09-27T02:16:00
