Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Total Vehicle Sales,1993-01-31T00:00:00,13.22,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-02-28T00:00:00,12.73,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-03-31T00:00:00,13.07,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-04-30T00:00:00,14.27,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-05-31T00:00:00,14.24,Monthly,UNITEDSTATOTVEHSAL,2015-04-25T21:39:00
United States,Total Vehicle Sales,1993-06-30T00:00:00,14.22,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-07-31T00:00:00,14.18,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-08-31T00:00:00,13.31,Monthly,UNITEDSTATOTVEHSAL,2015-04-25T21:39:00
United States,Total Vehicle Sales,1993-09-30T00:00:00,13.71,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-10-31T00:00:00,14.64,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-11-30T00:00:00,14.58,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1993-12-31T00:00:00,14.72,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-01-31T00:00:00,15.07,Monthly,UNITEDSTATOTVEHSAL,2015-04-25T21:39:00
United States,Total Vehicle Sales,1994-02-28T00:00:00,15.24,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-03-31T00:00:00,15.02,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-04-30T00:00:00,15.73,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-05-31T00:00:00,14.29,Monthly,UNITEDSTATOTVEHSAL,2015-04-25T21:39:00
United States,Total Vehicle Sales,1994-06-30T00:00:00,14.81,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-07-31T00:00:00,14.56,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-08-31T00:00:00,15.03,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-09-30T00:00:00,14.95,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-10-31T00:00:00,15.56,Monthly,UNITEDSTATOTVEHSAL,2015-04-25T21:39:00
United States,Total Vehicle Sales,1994-11-30T00:00:00,15.54,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
United States,Total Vehicle Sales,1994-12-31T00:00:00,15.25,Monthly,UNITEDSTATOTVEHSAL,2014-07-28T16:02:00
