Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Unemployed Persons,1948-01-31T00:00:00,2034,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-02-28T00:00:00,2328,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-03-31T00:00:00,2399,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-04-30T00:00:00,2386,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-05-31T00:00:00,2118,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-06-30T00:00:00,2214,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-07-31T00:00:00,2213,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-08-31T00:00:00,2350,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-09-30T00:00:00,2302,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-10-31T00:00:00,2259,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-11-30T00:00:00,2285,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1948-12-31T00:00:00,2429,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-01-31T00:00:00,2596,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-02-28T00:00:00,2849,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-03-31T00:00:00,3030,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-04-30T00:00:00,3260,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-05-31T00:00:00,3707,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-06-30T00:00:00,3776,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-07-31T00:00:00,4111,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-08-31T00:00:00,4193,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-09-30T00:00:00,4049,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-10-31T00:00:00,4916,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-11-30T00:00:00,3996,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1949-12-31T00:00:00,4063,Monthly,UNITEDSTAUNEPER,2020-01-10T14:02:00
United States,Unemployed Persons,1950-01-31T00:00:00,4026,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1950-02-28T00:00:00,3936,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-03-31T00:00:00,3876,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-04-30T00:00:00,3575,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1950-05-31T00:00:00,3434,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-06-30T00:00:00,3367,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-07-31T00:00:00,3120,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1950-08-31T00:00:00,2799,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-09-30T00:00:00,2774,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-10-31T00:00:00,2625,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1950-11-30T00:00:00,2589,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1950-12-31T00:00:00,2639,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-01-31T00:00:00,2305,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-02-28T00:00:00,2117,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-03-31T00:00:00,2125,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-04-30T00:00:00,1919,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1951-05-31T00:00:00,1856,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-06-30T00:00:00,1995,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-07-31T00:00:00,1950,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1951-08-31T00:00:00,1933,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-09-30T00:00:00,2067,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1951-10-31T00:00:00,2194,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-11-30T00:00:00,2178,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1951-12-31T00:00:00,1960,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1952-01-31T00:00:00,1972,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-02-29T00:00:00,1957,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-03-31T00:00:00,1813,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1952-04-30T00:00:00,1811,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-05-31T00:00:00,1863,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-06-30T00:00:00,1884,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1952-07-31T00:00:00,1991,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-08-31T00:00:00,2087,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-09-30T00:00:00,1936,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-10-31T00:00:00,1839,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1952-11-30T00:00:00,1743,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1952-12-31T00:00:00,1667,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-01-31T00:00:00,1839,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-02-28T00:00:00,1636,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1953-03-31T00:00:00,1647,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1953-04-30T00:00:00,1723,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-05-31T00:00:00,1596,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-06-30T00:00:00,1607,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-07-31T00:00:00,1660,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-08-31T00:00:00,1665,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1953-09-30T00:00:00,1821,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-10-31T00:00:00,1974,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1953-11-30T00:00:00,2211,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1953-12-31T00:00:00,2818,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-01-31T00:00:00,3077,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-02-28T00:00:00,3331,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-03-31T00:00:00,3607,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-04-30T00:00:00,3749,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-05-31T00:00:00,3767,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1954-06-30T00:00:00,3551,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-07-31T00:00:00,3659,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-08-31T00:00:00,3854,Monthly,UNITEDSTAUNEPER,2015-04-25T21:39:00
United States,Unemployed Persons,1954-09-30T00:00:00,3927,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-10-31T00:00:00,3666,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
United States,Unemployed Persons,1954-11-30T00:00:00,3402,Monthly,UNITEDSTAUNEPER,2013-11-08T14:13:00
