Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Wage Growth,1960-01-31T00:00:00,7.05,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-02-29T00:00:00,6.79,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-03-31T00:00:00,5.94,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-04-30T00:00:00,5.57,Monthly,UNITEDSTAWAGGRO,2016-08-29T14:15:00
United States,Wage Growth,1960-05-31T00:00:00,4.95,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-06-30T00:00:00,4.27,Monthly,UNITEDSTAWAGGRO,2021-07-30T12:47:00
United States,Wage Growth,1960-07-31T00:00:00,4.68,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-08-31T00:00:00,5.22,Monthly,UNITEDSTAWAGGRO,2021-07-30T12:47:00
United States,Wage Growth,1960-09-30T00:00:00,5.13,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-10-31T00:00:00,5.29,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-11-30T00:00:00,3.97,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1960-12-31T00:00:00,1.48,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-01-31T00:00:00,1.25,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-02-28T00:00:00,0.95,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-03-31T00:00:00,1.17,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-04-30T00:00:00,0.93,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-05-31T00:00:00,1.36,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-06-30T00:00:00,2.36,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-07-31T00:00:00,2.48,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
United States,Wage Growth,1961-08-31T00:00:00,3.23,Monthly,UNITEDSTAWAGGRO,2018-08-22T11:05:00
