Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Wages,1964-01-31T00:00:00,2.5,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-02-29T00:00:00,2.5,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-03-31T00:00:00,2.51,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1964-04-30T00:00:00,2.52,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-05-31T00:00:00,2.52,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-06-30T00:00:00,2.53,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-07-31T00:00:00,2.54,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1964-08-31T00:00:00,2.55,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-09-30T00:00:00,2.56,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1964-10-31T00:00:00,2.55,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-11-30T00:00:00,2.56,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1964-12-31T00:00:00,2.58,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-01-31T00:00:00,2.58,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-02-28T00:00:00,2.59,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-03-31T00:00:00,2.61,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1965-04-30T00:00:00,2.6,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-05-31T00:00:00,2.62,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-06-30T00:00:00,2.63,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1965-07-31T00:00:00,2.63,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-08-31T00:00:00,2.64,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-09-30T00:00:00,2.65,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-10-31T00:00:00,2.66,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-11-30T00:00:00,2.67,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1965-12-31T00:00:00,2.67,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1966-01-31T00:00:00,2.68,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-02-28T00:00:00,2.69,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-03-31T00:00:00,2.7,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-04-30T00:00:00,2.71,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-05-31T00:00:00,2.72,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-06-30T00:00:00,2.73,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1966-07-31T00:00:00,2.74,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-08-31T00:00:00,2.75,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-09-30T00:00:00,2.76,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-10-31T00:00:00,2.77,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-11-30T00:00:00,2.78,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1966-12-31T00:00:00,2.78,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-01-31T00:00:00,2.8,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1967-02-28T00:00:00,2.81,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-03-31T00:00:00,2.81,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-04-30T00:00:00,2.82,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-05-31T00:00:00,2.83,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-06-30T00:00:00,2.85,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1967-07-31T00:00:00,2.86,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-08-31T00:00:00,2.88,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1967-09-30T00:00:00,2.88,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-10-31T00:00:00,2.89,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-11-30T00:00:00,2.91,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1967-12-31T00:00:00,2.92,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-01-31T00:00:00,2.94,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-02-29T00:00:00,2.95,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-03-31T00:00:00,2.97,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-04-30T00:00:00,2.99,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1968-05-31T00:00:00,3,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-06-30T00:00:00,3.01,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-07-31T00:00:00,3.03,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1968-08-31T00:00:00,3.04,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1968-09-30T00:00:00,3.07,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1968-10-31T00:00:00,3.08,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1968-11-30T00:00:00,3.1,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1968-12-31T00:00:00,3.11,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-01-31T00:00:00,3.12,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-02-28T00:00:00,3.14,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-03-31T00:00:00,3.16,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1969-04-30T00:00:00,3.18,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1969-05-31T00:00:00,3.19,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-06-30T00:00:00,3.21,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1969-07-31T00:00:00,3.22,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-08-31T00:00:00,3.24,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-09-30T00:00:00,3.26,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-10-31T00:00:00,3.28,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1969-11-30T00:00:00,3.3,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1969-12-31T00:00:00,3.31,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1970-01-31T00:00:00,3.31,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1970-02-28T00:00:00,3.33,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1970-03-31T00:00:00,3.36,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1970-04-30T00:00:00,3.36,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1970-05-31T00:00:00,3.37,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1970-06-30T00:00:00,3.4,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1970-07-31T00:00:00,3.41,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1970-08-31T00:00:00,3.44,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
United States,Wages,1970-09-30T00:00:00,3.45,Monthly,UNITEDSTAWAG,2015-10-27T16:17:00
United States,Wages,1970-10-31T00:00:00,3.45,Monthly,UNITEDSTAWAG,2019-04-11T16:08:00
